S&P 500 Companies,Latest Prices ($),Change (%)
3M,116.83,3.30%
A.O. Smith,50.15,2.89%
Abbott Laboratories,95.04,-0.15%
AbbVie,147.04,2.88%
ABIOMED,256.22,1.47%
Accenture,269.58,3.00%
Activision Blizzard,72.71,-0.82%
Adobe,306.37,1.32%
Advance Auto Parts,171.33,0.72%
AES,24.48,4.24%
Aflac,60.98,3.15%
Agilent Technologies,129.88,3.13%
Air Products and Chemicals,241.32,1.29%
Akamai,85.88,2.04%
Alaska Air Group,41.02,2.88%
Albemarle,270.05,5.69%
Alexandria Real Estate Equities,131.99,2.15%
Align Technology,207.67,4.74%
Allegion,92.77,3.30%
Alliant Energy,49.76,2.18%
Allstate,120.07,2.01%
Alphabet A,101.13,1.16%
Alphabet C,101.48,0.94%
Altria,44.49,2.15%
Amazon,119.32,3.53%
Amcor,11.30,3.81%
AMD,58.82,1.82%
Ameren,77.58,1.28%
American Airlines,13.71,1.86%
American Electric Power,85.63,2.03%
American Express,140.13,-1.65%
American International Group,53.24,2.76%
American Tower,187.57,-0.12%
American Water Works,132.72,2.16%
Ameriprise Financial,266.84,3.66%
AmerisourceBergen,147.76,3.56%
Ametek,119.12,3.55%
Amgen,251.94,1.81%
Amphenol,71.58,3.56%
Analog Devices,146.59,3.17%
ANSYS,214.15,1.73%
Anthem,511.25,1.78%
Aon,280.34,2.59%
APA Corporation Registered Shs,43.19,4.05%
Apple,147.27,2.71%
Applied Materials,82.42,4.78%
Aptiv,87.07,2.88%
Archer Daniels Midland,89.72,1.50%
Arista Networks,110.56,4.66%
Arthur J. Gallagher,175.31,0.91%
Assurant,146.87,1.12%
AT&T,17.10,2.15%
Atmos Energy,101.74,1.64%
Autodesk,201.39,1.80%
Automatic Data Processing,232.74,1.42%
AutoZone,"2,303.74",1.96%
AvalonBay Communities,174.93,1.61%
Avery Dennison,171.05,1.34%
Baker Hughes,26.67,2.77%
Ball,49.21,1.48%
Bank of America,34.98,3.86%
Bank of New York Mellon,40.24,4.76%
Bath & Body Works,33.71,2.96%
Baxter International,56.42,2.58%
"Becton, Dickinson",223.60,0.50%
Berkshire Hathaway,282.34,3.27%
Best Buy,63.77,1.53%
Biogen,267.62,1.89%
Bio-Rad Laboratories,377.79,0.58%
Bio-Techne,283.29,0.41%
BlackRock,597.68,4.51%
Boeing,141.33,1.60%
Booking Holdings,"1,822.79",2.77%
BorgWarner,34.54,2.30%
Boston Properties,72.58,0.43%
Boston Scientific,40.54,0.80%
Bristol-Myers Squibb,72.23,2.80%
Broadcom,449.73,4.52%
Broadridge Financial Solutions,140.96,0.42%
Brown-Forman b,63.87,0.79%
C.H. Robinson Worldwide,94.08,1.74%
Cadence Design Systems,158.34,3.46%
Caesars Entertainment,39.61,5.88%
Campbell Soup,50.27,0.84%
Capital One Financial,96.24,1.36%
Cardinal Health,73.00,3.17%
CarMax,55.73,-1.31%
Carnival,8.18,2.38%
Carrier Global Corporation Registered Shs When Issued,35.19,3.35%
Catalent,67.61,-0.97%
Caterpillar,190.18,5.37%
CBRE Grou a,69.28,2.27%
CDW,162.43,2.53%
Celanese,94.64,2.77%
Centene,73.87,-0.28%
CenterPoint Energy,27.02,1.58%
Cabot Oil & Gas,29.68,-0.07%
CF Industries Holdings,107.32,2.84%
Charles River Laboratories International,200.17,0.34%
Charles Schwab,70.32,3.43%
Charte a,330.40,0.69%
Chevron,173.19,2.49%
Chipotle Mexican Grill,"1,548.57",0.94%
Chubb,197.79,3.09%
Church & Dwight,73.18,1.44%
Cigna,301.35,2.36%
Cincinnati Financial,99.24,1.52%
Cintas,399.94,1.84%
Cisco,42.80,2.61%
Citigroup,44.27,3.22%
Citizens Financial Group,37.94,5.68%
Clorox,136.22,2.38%
CME Grou a,169.99,-0.24%
CMS Energy,54.45,0.95%
Coca-Cola,55.98,1.65%
Cognizant,60.28,0.84%
Colgate-Palmolive,71.48,1.73%
Comcast,30.48,0.07%
Comerica,65.34,0.90%
ConAgra Foods,34.70,1.02%
ConocoPhillips,124.52,2.22%
Consolidated Edison,84.93,1.83%
Constellation Brand a,225.06,1.16%
Cooper Cos,260.01,1.69%
Copart,109.63,0.75%
Corning,32.18,4.16%
Corteva,62.86,1.55%
CoStar Group,71.80,1.74%
Costco Wholesale,478.18,2.92%
Crown Castle,123.56,-2.56%
CSX,27.54,1.70%
Cummins,232.91,5.78%
CVS Health,92.71,1.94%
D.R. Horton,69.78,3.90%
Danaher,244.60,0.62%
Darden Restaurants,133.24,0.82%
DaVita HealthCare Partners,89.98,-1.06%
Deere,383.16,4.88%
Delta Air Lines,32.60,1.38%
DENTSPLY SIRONA,29.06,1.47%
Devon Energy,74.30,3.58%
DexCom,95.68,1.40%
Diamondback Energy,152.32,3.91%
Digital Realty Trust,96.84,1.86%
Discover Financial Services,94.70,2.12%
Dish Network,14.10,1.22%
Dollar General Corporation,239.27,0.87%
Dollar Tree,143.61,3.29%
Dominion Energy,65.52,1.74%
